Sex,Embarked_Q,Title_Mrs,Pclass_1,Pclass_2,Transformed_Age,Transformed_Fare
1,0.0,0.0,0.0,0.0,12.63,2.44
0,0.0,1.0,1.0,0.0,19.87,6.8
0,0.0,0.0,0.0,0.0,14.53,2.58
0,0.0,1.0,1.0,0.0,18.58,6.12
1,0.0,0.0,0.0,0.0,18.58,2.6
1,1.0,0.0,0.0,0.0,15.68,2.68
1,0.0,0.0,1.0,0.0,26.41,6.07
1,0.0,0.0,0.0,0.0,0.91,4.23
0,0.0,1.0,0.0,0.0,14.99,3.11
0,0.0,1.0,0.0,1.0,8.55,4.91
0,0.0,0.0,0.0,0.0,2.47,3.8
0,0.0,0.0,1.0,0.0,27.97,4.67
1,0.0,0.0,0.0,0.0,11.65,2.6
1,0.0,0.0,0.0,0.0,20.3,4.99
0,0.0,0.0,0.0,0.0,8.55,2.56
0,0.0,1.0,0.0,1.0,26.8,3.73
1,1.0,0.0,0.0,0.0,0.91,4.85
1,0.0,0.0,0.0,1.0,18.14,3.37
0,0.0,1.0,0.0,0.0,16.81,3.94
0,0.0,1.0,0.0,0.0,19.87,2.44
1,0.0,0.0,0.0,1.0,18.58,4.63
1,0.0,0.0,0.0,1.0,18.14,3.37
0,1.0,0.0,0.0,0.0,9.09,2.6
1,0.0,0.0,1.0,0.0,15.45,5.25
0,0.0,0.0,0.0,0.0,5.11,4.23
0,0.0,1.0,0.0,0.0,19.87,5.0
1,0.0,0.0,0.0,0.0,14.41,2.44
1,0.0,0.0,1.0,0.0,11.15,10.37
0,1.0,0.0,0.0,0.0,12.63,2.57
1,0.0,0.0,0.0,0.0,14.3,2.57
1,0.0,0.0,1.0,0.0,20.72,4.75
0,0.0,1.0,1.0,0.0,22.59,8.66
0,1.0,0.0,0.0,0.0,12.63,2.54
1,0.0,0.0,0.0,1.0,31.02,3.02
1,0.0,0.0,1.0,0.0,15.45,7.15
1,0.0,0.0,1.0,0.0,21.56,6.07
1,0.0,0.0,0.0,0.0,13.59,2.44
1,0.0,0.0,0.0,0.0,12.14,2.6
0,0.0,0.0,0.0,0.0,10.64,3.94
0,0.0,0.0,0.0,0.0,8.55,3.13
0,0.0,1.0,0.0,0.0,20.72,2.85
0,0.0,1.0,0.0,1.0,14.99,4.22
1,0.0,0.0,0.0,0.0,14.41,2.57
0,0.0,0.0,0.0,1.0,1.72,5.58
0,1.0,0.0,0.0,0.0,11.15,2.57
1,0.0,0.0,0.0,0.0,14.3,2.6
1,1.0,0.0,0.0,0.0,16.36,3.67
0,1.0,0.0,0.0,0.0,12.63,2.54
1,0.0,0.0,0.0,0.0,10.13,4.28
0,0.0,1.0,0.0,0.0,10.64,3.92
1,0.0,0.0,0.0,0.0,4.49,5.48
1,0.0,0.0,0.0,0.0,12.14,2.55
0,0.0,1.0,1.0,0.0,24.42,6.98
0,0.0,1.0,0.0,1.0,15.91,4.63
1,0.0,0.0,1.0,0.0,30.64,6.47
1,0.0,0.0,1.0,0.0,19.01,5.25
0,0.0,0.0,0.0,1.0,12.14,3.02
1,0.0,0.0,0.0,0.0,15.68,2.44
0,0.0,0.0,0.0,1.0,3.17,4.75
1,0.0,0.0,0.0,0.0,6.89,5.84
1,0.0,0.0,0.0,0.0,12.63,2.44
0,0.0,0.0,1.0,0.0,19.87,7.08
1,0.0,0.0,1.0,0.0,22.8,7.19
1,0.0,0.0,0.0,0.0,2.47,4.76
1,0.0,0.0,1.0,0.0,20.3,4.75
1,0.0,0.0,0.0,0.0,2.47,3.64
0,0.0,1.0,0.0,1.0,15.91,3.02
1,0.0,0.0,0.0,0.0,11.15,2.62
0,0.0,0.0,0.0,0.0,10.13,2.58
1,0.0,0.0,0.0,0.0,14.53,2.71
1,0.0,0.0,0.0,1.0,17.26,3.02
0,0.0,0.0,0.0,0.0,9.61,5.84
1,0.0,0.0,0.0,1.0,12.14,6.88
1,0.0,0.0,0.0,0.0,14.53,3.55
1,0.0,0.0,0.0,0.0,17.26,6.26
1,0.0,0.0,0.0,0.0,14.06,2.52
1,0.0,0.0,0.0,0.0,14.3,2.57
1,0.0,0.0,0.0,0.0,14.3,2.6
1,0.0,0.0,0.0,1.0,-0.17,4.84
0,0.0,0.0,0.0,0.0,16.36,3.3
1,0.0,0.0,0.0,0.0,12.63,2.77
1,0.0,0.0,0.0,0.0,15.91,2.86
0,1.0,0.0,0.0,0.0,12.63,2.55
1,0.0,0.0,1.0,0.0,15.45,5.85
0,0.0,0.0,0.0,1.0,10.13,3.02
0,0.0,1.0,0.0,0.0,17.7,3.71
1,0.0,0.0,0.0,0.0,9.61,5.18
1,0.0,0.0,0.0,0.0,14.3,2.6
0,0.0,0.0,1.0,0.0,13.11,10.37
1,0.0,0.0,0.0,0.0,13.59,2.6
1,0.0,0.0,0.0,0.0,15.91,2.6
1,0.0,0.0,0.0,0.0,11.65,2.56
1,0.0,0.0,1.0,0.0,23.21,6.44
1,0.0,0.0,0.0,0.0,14.53,4.18
1,0.0,0.0,0.0,0.0,28.36,2.44
1,0.0,0.0,0.0,0.0,14.3,2.6
1,0.0,0.0,1.0,0.0,32.88,5.2
1,0.0,0.0,1.0,0.0,13.11,6.52
0,0.0,1.0,0.0,1.0,18.14,4.39
1,0.0,0.0,0.0,1.0,18.14,4.63
0,0.0,0.0,0.0,0.0,15.45,2.57
1,0.0,0.0,0.0,0.0,14.3,2.57
1,0.0,0.0,1.0,0.0,12.14,7.0
1,0.0,0.0,0.0,0.0,17.7,2.71
1,0.0,0.0,0.0,0.0,19.44,2.58
1,0.0,0.0,0.0,0.0,15.45,2.57
0,0.0,0.0,0.0,0.0,12.14,2.52
1,0.0,0.0,0.0,0.0,15.91,2.55
1,0.0,0.0,0.0,0.0,19.87,2.57
0,1.0,0.0,0.0,0.0,16.36,4.48
1,0.0,0.0,1.0,0.0,23.62,6.07
0,0.0,0.0,0.0,0.0,8.82,3.55
1,0.0,0.0,0.0,0.0,12.63,2.6
0,0.0,0.0,0.0,0.0,11.65,2.91
0,0.0,0.0,0.0,0.0,10.13,3.55
1,0.0,0.0,0.0,0.0,12.14,2.58
1,1.0,0.0,0.0,0.0,32.69,2.54
1,0.0,0.0,0.0,1.0,15.91,4.22
1,0.0,0.0,1.0,0.0,13.59,10.19
0,0.0,0.0,0.0,0.0,0.91,4.99
1,0.0,0.0,0.0,1.0,12.14,6.88
1,0.0,0.0,0.0,0.0,14.3,2.6
1,0.0,0.0,0.0,1.0,17.48,4.91
0,0.0,0.0,0.0,1.0,17.48,3.37
1,0.0,0.0,1.0,0.0,26.41,7.0
1,0.0,0.0,0.0,0.0,7.45,3.13
1,1.0,0.0,0.0,0.0,15.68,2.54
1,0.0,0.0,0.0,0.0,13.59,2.42
0,0.0,0.0,0.0,0.0,3.17,4.34
1,0.0,0.0,0.0,0.0,22.8,2.38
